                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
51,                 1.0909,                0.59937,                 1.1699,                0.85388,                0.84162,                0.86386,                0.52683,                 1.4815,                0.66229,                 1.5091,                0.00835,                0.00835,                0.00835
52,1083,                 0.5984,                 1.1678,                0.84655,                0.84553,                 0.8642,                0.52315,                 1.4845,                0.66937,                 1.5062,               0.008317,               0.008317,               0.008317
53,                 1.0778,                 0.5952,                 1.1632,                0.86204,                0.83454,                0.86331,                0.52372,                 1.4821,                0.66528,1523,               0.008284,               0.008284,               0.008284
54,                 1.0752,                0.59265,                 1.1605,                0.85621,                0.83654,                 0.8649,                0.52489,1484,                0.66302,                 1.5223,               0.008251,               0.008251,               0.008251
55,                 1.0655,                0.58406,                 1.1608,                0.84558,                0.85156,                0.86448,                0.52553,                   1.49,                0.65954,1529,               0.008218,               0.008218,               0.008218
56,                 1.0554,                0.58127,                 1.1523,                0.84034,                0.84664,                0.85958,                0.52282,                 1.4961,                0.66409,                 1.5346,               0.008185,               0.008185,               0.008185
57,                 1.0573,                0.57886,                 1.1498,                0.84551,                 0.8438,                 0.8609,                 0.5218,                 1.5051,                0.66466,                 1.5488,               0.008152,               0.008152,               0.008152
58,                 1.0511,                0.57742,1147,                0.84592,                0.84397,                0.86244,                 0.5215,                 1.5057,                 0.6658,                 1.5529,               0.008119,               0.008119,               0.008119
59,                 1.0411,                0.57192,                 1.1434,                0.85263,                0.83543,                0.86213,                0.52045,                 1.5089,                0.66645,                 1.5565,               0.008086,               0.008086,               0.008086
60,                 1.0416,                0.57285,                 1.1433,                0.83573,                0.85852,                0.86292,                0.52009,                 1.5069,                0.66093,                 1.5561,               0.008053,               0.008053,               0.008053
61,                 1.0268,                0.56729,                 1.1425,                0.84362,                0.85246,                0.86536,                0.52032,                 1.5062,                0.66109,                 1.5569,                0.00802,                0.00802,                0.00802
62,                 1.0247,                0.56323,                 1.1385,                0.85295,                0.84424,                0.86416,                 0.5201,                 1.4975,                0.66035,                 1.5524,               0.007987,               0.007987,               0.007987
63,                 1.0167,                0.55846,                 1.1327,                0.84676,                0.84174,                0.86293,                0.52019,                 1.5018,                0.66552,                 1.5543,               0.007954,               0.007954,               0.007954
64,                 1.0056,                0.55404,                 1.1288,                0.85276,                0.84168,                0.86336,                0.51948,                 1.5075,                0.67007,                 1.5616,               0.007921,               0.007921,               0.007921
65,                 1.0023,                0.55094,                 1.1289,                0.85169,                0.84264,                 0.8646,                0.51973,                 1.5076,                0.66657,                 1.5686,               0.007888,               0.007888,               0.007888
66,                 1.0064,                0.55552,                 1.1267,                0.85158,                0.83778,                0.86002,                0.51875,                 1.5079,                0.66879,                 1.5714,               0.007855,               0.007855,               0.007855
67,                0.99566,                0.54833,                 1.1213,                 0.8464,                 0.8464,                0.86205,                0.51885,                 1.5116,                   0.67,                 1.5783,               0.007822,               0.007822,               0.007822
68,                0.98444,                0.54571,                 1.1195,                0.84729,                0.84522,                0.86013,                0.51735,                 1.5106,                0.66946,                 1.5795,               0.007789,               0.007789,               0.007789
69,                0.98645,                0.54487,                 1.1112,                0.85272,                0.84414,                0.86004,                0.51596,                 1.5094,                0.66791,                 1.5835,               0.007756,               0.007756,               0.007756
70,                0.98535,                0.54539,                 1.1133,853,                0.84051,                0.85924,                 0.5183,1511,                0.66824,                 1.5862,               0.007723,               0.007723,               0.007723
71,                0.97824,                0.53816,                 1.1109,                0.85371,                0.84065,                 0.8598,                0.52003,                 1.5106,                0.66733,                 1.5931,                0.00769,                0.00769,                0.00769
72,                0.96914,                0.53583,                 1.1092,                0.85897,                0.84107,                0.86042,                0.51992,                 1.5128,                0.67099,                 1.5945,               0.007657,               0.007657,               0.007657
73,                0.96121,                0.53077,                 1.1061,                0.85773,                0.84095,                 0.8598,                0.52029,1514,                0.67207,                 1.5959,               0.007624,               0.007624,               0.007624
74,                0.95872,                0.52746,                 1.1061,                0.85403,                0.84256,                0.86031,                0.52031,                 1.5148,                0.67232,                 1.5984,               0.007591,               0.007591,               0.007591
75,                0.94768,                0.52528,                 1.0988,                 0.8533,                0.84519,                0.86189,                0.51895,                 1.5185,                0.67454,                 1.6028,               0.007558,               0.007558,               0.007558
76,                0.94907,                0.52612,                 1.1001,                0.85198,                0.84565,                0.86236,                0.51982,                 1.5184,                0.67715,                 1.6049,               0.007525,               0.007525,               0.007525
77,                0.94305,                 0.5207,                 1.0937,                0.84223,                0.85272,                0.86153,                0.51908,                 1.5183,                0.67625,                 1.6073,               0.007492,               0.007492,               0.007492
78,                0.93539,                0.51911,                 1.0983,                0.83793,                0.85558,                0.86178,                0.52054,                 1.5192,                0.67689,                   1.61,               0.007459,               0.007459,               0.007459
79,                 0.9274,                0.51363,1091,                0.84158,                0.85464,                0.86389,                0.52134,                 1.5192,                0.67574,                 1.6119,               0.007426,               0.007426,               0.007426
80,                0.92705,                0.51539,                 1.0915,                0.84338,                0.85629,                0.86451,                0.52181,                 1.5217,                0.67612,                 1.6155,               0.007393,               0.007393,               0.007393
